60		60		60		48		53		30.03		1		N		0		64		
60		60		60		48		53		30.08		1		N		0		64		
59		59		59		46		53		30.08		2		N		0		64		
59		59		59		46		53		30.06		1		N		0		64		
59		59		59		46		53		30.07		2		N		0		64		
59		59		59		46		53		30.1		2		N		0		64		
59		59		59		46		53		30.11		1		N		0		64		
59		59		59		46		53		30.08		0		N		0		64		
59		59		59		46		53		30.03		1		N		0		64		
59		59		59		46		53		30.01		1		N		0		64		
59		59		59		46		53		30.0		1		N		0		64		
59		59		59		46		53		29.97		1		N		0		64		
59		59		59		46		53		30.01		0		N		0		64		
59		59		59		46		53		30.01		0		N		0		64		
59		59		59		46		53		29.97		1		N		0		64		
59		59		59		46		53		29.97		0		N		0		64		
59		59		59		46		53		29.98		1		N		0		64		
